उपोद्धात,पुं।,वक्ष्यमाणौपयोग्यर्थवर्णनम्,,,पौरुषेयः,,,,,,"उपोद्धात,उदाहार",,
उदाहार,पुं।,वक्ष्यमाणौपयोग्यर्थवर्णनम्,,,पौरुषेयः,,,,,,"उपोद्धात,उदाहार",,
शपन,नपुं।,शपथः,,,गुणः,शब्दः,,,,,"शपन,शपथ,प्रत्यय,समय,सत्य",,
शपथ,पुं।,शपथः,,,गुणः,शब्दः,,,,,"शपन,शपथ,प्रत्यय,समय,सत्य",,
प्रश्न,पुं।,प्रश्नः,,,गुणः,शब्दः,,,,,"प्रश्न,अनुयोग,पृच्छा,स्वित्,उत,अथो,अथ,नु,ननु,अपि,किम्,ऊम्",,"दुर्विज्ञानार्थः_प्रश्नः,अद्भुतप्रश्नः,परिप्रश्नः"
अनुयोग,पुं।,प्रश्नः,,,गुणः,शब्दः,,,,,"प्रश्न,अनुयोग,पृच्छा,स्वित्,उत,अथो,अथ,नु,ननु,अपि,किम्,ऊम्",,"दुर्विज्ञानार्थः_प्रश्नः,अद्भुतप्रश्नः,परिप्रश्नः"
पृच्छा,स्त्री।,प्रश्नः,,,गुणः,शब्दः,,,,,"प्रश्न,अनुयोग,पृच्छा,स्वित्,उत,अथो,अथ,नु,ननु,अपि,किम्,ऊम्",,"दुर्विज्ञानार्थः_प्रश्नः,अद्भुतप्रश्नः,परिप्रश्नः"
प्रतिवाक्य,नपुं।,उत्तरम्,,,गुणः,शब्दः,,,,,"प्रतिवाक्य,उत्तर",,
उत्तर,नपुं।,उत्तरम्,,,गुणः,शब्दः,,,,,"प्रतिवाक्य,उत्तर",,
मिथ्याभियोग,पुं।,मिथ्याविवादः,,,गुणः,शब्दः,,,,,"मिथ्याभियोग,अभ्याख्यान",,
अभ्याख्यान,नपुं।,मिथ्याविवादः,,,गुणः,शब्दः,,,,,"मिथ्याभियोग,अभ्याख्यान",,
मिथ्याभिशंसन,नपुं।,सुरपानादि_मिथ्या_पापोद्भवनम्,,,गुणः,शब्दः,,,,,"मिथ्याभिशंसन,अभिशाप",,
अभिशाप,पुं।,सुरपानादि_मिथ्या_पापोद्भवनम्,,,गुणः,शब्दः,,,,,"मिथ्याभिशंसन,अभिशाप",,
प्रणाद,पुं।,प्रीतिविशेषजनितमुखकण्ठादिशब्दः,,,गुणः,शब्दः,,,,,प्रणाद,,
यशस्,नपुं।,कीर्तिः,,,गुणः,शब्दः,,,,,"यशस्,कीर्ति,समज्ञा,प्रथा,ख्याति,श्लोक,भग",,
कीर्ति,स्त्री।,कीर्तिः,,,गुणः,शब्दः,,,,,"यशस्,कीर्ति,समज्ञा,प्रथा,ख्याति,श्लोक,भग",,
समज्ञा,स्त्री।,कीर्तिः,,,गुणः,शब्दः,,,,,"यशस्,कीर्ति,समज्ञा,प्रथा,ख्याति,श्लोक,भग",,
स्तव,पुं।,स्तुतिः,,,गुणः,शब्दः,,,,,"स्तव,स्तोत्र,स्तुति,नुति,वर्ण,स्तोम",,
स्तोत्र,नपुं।,स्तुतिः,,,गुणः,शब्दः,,,,,"स्तव,स्तोत्र,स्तुति,नुति,वर्ण,स्तोम",,
स्तुति,स्त्री।,स्तुतिः,,,गुणः,शब्दः,,,,,"स्तव,स्तोत्र,स्तुति,नुति,वर्ण,स्तोम",,
नुति,स्त्री।,स्तुतिः,,,गुणः,शब्दः,,,,,"स्तव,स्तोत्र,स्तुति,नुति,वर्ण,स्तोम",,
आम्रेडित,नपुं।,द्विरुक्तिः,,,गुणः,शब्दः,,,,,आम्रेडित,,
उच्चैर्घुष्ट,नपुं।,उच्चैः_शब्दनम्,,,गुणः,शब्दः,,,,,"उच्चैर्घुष्ट,घोषणा",,
घोषणा,स्त्री।,उच्चैः_शब्दनम्,,,गुणः,शब्दः,,,,,"उच्चैर्घुष्ट,घोषणा",,
काकु,स्त्री।,शोकादिना_विकृतध्वनिः,,,गुणः,शब्दः,,,,,काकु,,
अवर्ण,पुं।,जुगुप्सा,,,गुणः,मानसिकभावः,,,,,"अवर्ण,आक्षेप,निर्वाद,परीवाद,अपवाद,उपक्रोश,जुगुप्सा,कुत्सा,निन्दा,गर्हण,घृणा,कु",,
आक्षेप,पुं।,जुगुप्सा,,,गुणः,मानसिकभावः,,,,,"अवर्ण,आक्षेप,निर्वाद,परीवाद,अपवाद,उपक्रोश,जुगुप्सा,कुत्सा,निन्दा,गर्हण,घृणा,कु",,
निर्वाद,पुं।,जुगुप्सा,,,गुणः,मानसिकभावः,,,,,"अवर्ण,आक्षेप,निर्वाद,परीवाद,अपवाद,उपक्रोश,जुगुप्सा,कुत्सा,निन्दा,गर्हण,घृणा,कु",,
परीवाद,पुं।,जुगुप्सा,,,गुणः,मानसिकभावः,,,,,"अवर्ण,आक्षेप,निर्वाद,परीवाद,अपवाद,उपक्रोश,जुगुप्सा,कुत्सा,निन्दा,गर्हण,घृणा,कु",,
अपवाद,पुं।,जुगुप्सा,,,गुणः,मानसिकभावः,,,,,"अवर्ण,आक्षेप,निर्वाद,परीवाद,अपवाद,उपक्रोश,जुगुप्सा,कुत्सा,निन्दा,गर्हण,घृणा,कु",,
